FAIRBANKS INTL AP
Date	Min Temp (°F)
2013-01-01	16
2013-01-02	1
2013-01-03	1
2013-01-04	-7
2013-01-05	-9
2013-01-06	-9
2013-01-07	-20
2013-01-08	-20
2013-01-09	-21
2013-01-10	-11
2013-01-11	-3
2013-01-12	7
2013-01-13	19
2013-01-14	24
2013-01-15	3
2013-01-16	-5
2013-01-17	-19
2013-01-18	-30
2013-01-19	-28
2013-01-20	-4
2013-01-21	-10
2013-01-22	-15
2013-01-23	-7
2013-01-24	-13
2013-01-25	-43
2013-01-26	-44
2013-01-27	-48
2013-01-28	-47
2013-01-29	-29
2013-01-30	-6
2013-01-31	5
2013-02-01	-15
2013-02-02	-4
2013-02-03	1
2013-02-04	-1
2013-02-05	-12
2013-02-06	-11
2013-02-07	-13
2013-02-08	-6
2013-02-09	-11
2013-02-10	5
2013-02-11	-5
2013-02-12	-16
2013-02-13	-15
2013-02-14	-7
2013-02-15	-6
2013-02-16	-20
2013-02-17	-10
2013-02-18	-33
2013-02-19	-43
2013-02-20	-30
2013-02-21	-4
2013-02-22	-24
2013-02-23	-15
2013-02-24	-22
2013-02-25	-21
2013-02-26	-16
2013-02-27	-9
2013-02-28	-7
2013-03-01	-0
2013-03-02	-10
2013-03-03	-17
2013-03-04	-17
2013-03-05	-3
2013-03-06	-8
2013-03-07	-5
2013-03-08	14
2013-03-09	15
2013-03-10	-0
2013-03-11	-7
2013-03-12	-12
2013-03-13	-21
2013-03-14	-9
2013-03-15	-16
2013-03-16	-12
2013-03-17	-16
2013-03-18	-13
2013-03-19	-16
2013-03-20	-18
2013-03-21	-5
2013-03-22	7
2013-03-23	-16
2013-03-24	-19
2013-03-25	2
2013-03-26	-23
2013-03-27	-30
2013-03-28	-24
2013-03-29	2
2013-03-30	-0
2013-03-31	16
2013-04-01	19
2013-04-02	12
2013-04-03	13
2013-04-04	1
2013-04-05	3
2013-04-06	-3
2013-04-07	-10
2013-04-08	-18
2013-04-09	7
2013-04-10	-13
2013-04-11	-21
2013-04-12	-15
2013-04-13	-13
2013-04-14	-3
2013-04-15	14
2013-04-16	12
2013-04-17	15
2013-04-18	12
2013-04-19	4
2013-04-20	5
2013-04-21	7
2013-04-22	9
2013-04-23	16
2013-04-24	28
2013-04-25	16
2013-04-26	7
2013-04-27	11
2013-04-28	2
2013-04-29	21
2013-04-30	27
2013-05-01	24
2013-05-02	22
2013-05-03	27
2013-05-04	20
