Script started on Thu Feb 26 03:55:44 2009
csci[~/cs201/homework]26>hw3.1f09
Enter the number of times to run the birthday match simulation:
1234567
The simulation will be run 1234567 times.
Enter a positive integer for the random seed:
123
The random seed is 123.

Theoretical vs. Computed probability of no birthday matches for a set of people:
_______________________________________________________________________________
         People    Theoretical       Computed          Error      Rel. Err.
_______________________________________________________________________________
              2      9.973e-01      9.971e-01      1.196e-04      1.199e-04
              3      9.918e-01      9.916e-01      1.591e-04      1.604e-04
              4      9.836e-01      9.835e-01      1.057e-04      1.075e-04
              5      9.729e-01      9.730e-01     -8.641e-05      8.882e-05
              6      9.595e-01      9.595e-01      6.766e-06      7.051e-06
              7      9.438e-01      9.439e-01     -1.108e-04      1.174e-04
              8      9.257e-01      9.259e-01     -2.494e-04      2.694e-04
              9      9.054e-01      9.057e-01     -3.462e-04      3.824e-04
             10      8.831e-01      8.834e-01     -3.097e-04      3.507e-04
             11      8.589e-01      8.591e-01     -2.434e-04      2.834e-04
             12      8.330e-01      8.334e-01     -4.287e-04      5.147e-04
             13      8.056e-01      8.059e-01     -3.106e-04      3.856e-04
             14      7.769e-01      7.773e-01     -3.580e-04      4.608e-04
             15      7.471e-01      7.475e-01     -4.039e-04      5.406e-04
             16      7.164e-01      7.170e-01     -5.631e-04      7.860e-04
             17      6.850e-01      6.853e-01     -3.176e-04      4.636e-04
             18      6.531e-01      6.533e-01     -1.826e-04      2.795e-04
             19      6.209e-01      6.211e-01     -1.711e-04      2.756e-04
             20      5.886e-01      5.887e-01     -1.006e-04      1.710e-04
             21      5.563e-01      5.565e-01     -1.693e-04      3.043e-04
             22      5.243e-01      5.244e-01     -5.891e-05      1.124e-04
             23      4.927e-01      4.926e-01      7.337e-05      1.489e-04
             24      4.617e-01      4.615e-01      1.782e-04      3.859e-04
             25      4.313e-01      4.313e-01     -8.009e-06      1.857e-05
             26      4.018e-01      4.019e-01     -1.688e-04      4.201e-04
             27      3.731e-01      3.731e-01      1.719e-05      4.606e-05
             28      3.455e-01      3.454e-01      1.041e-04      3.011e-04
             29      3.190e-01      3.190e-01     -7.520e-06      2.357e-05
             30      2.937e-01      2.937e-01      1.480e-05      5.040e-05
             31      2.695e-01      2.694e-01      1.019e-04      3.781e-04
             32      2.467e-01      2.465e-01      1.782e-04      7.225e-04
             33      2.250e-01      2.250e-01      4.724e-05      2.099e-04
             34      2.047e-01      2.046e-01      1.086e-04      5.305e-04
             35      1.856e-01      1.854e-01      2.173e-04      1.171e-03
             36      1.678e-01      1.676e-01      1.753e-04      1.045e-03
             37      1.513e-01      1.512e-01      5.670e-05      3.748e-04
             38      1.359e-01      1.358e-01      1.607e-04      1.182e-03
             39      1.218e-01      1.216e-01      1.434e-04      1.177e-03
             40      1.088e-01      1.089e-01     -1.097e-04      1.008e-03
             41      9.685e-02      9.703e-02     -1.800e-04      1.858e-03
             42      8.597e-02      8.614e-02     -1.676e-04      1.949e-03
             43      7.608e-02      7.634e-02     -2.662e-04      3.499e-03
             44      6.711e-02      6.755e-02     -4.354e-04      6.487e-03
             45      5.902e-02      5.940e-02     -3.749e-04      6.351e-03
             46      5.175e-02      5.199e-02     -2.476e-04      4.785e-03
             47      4.523e-02      4.551e-02     -2.891e-04      6.393e-03
             48      3.940e-02      3.968e-02     -2.815e-04      7.145e-03
             49      3.422e-02      3.444e-02     -2.168e-04      6.335e-03
             50      2.963e-02      2.974e-02     -1.152e-04      3.888e-03
             51      2.557e-02      2.563e-02     -6.527e-05      2.553e-03
             52      2.200e-02      2.198e-02      1.288e-05      5.858e-04
             53      1.886e-02      1.882e-02      3.828e-05      2.030e-03
             54      1.612e-02      1.612e-02      4.835e-06      2.999e-04
             55      1.374e-02      1.374e-02     -2.329e-06      1.695e-04
             56      1.167e-02      1.169e-02     -2.471e-05      2.118e-03
             57      9.878e-03      9.932e-03     -5.469e-05      5.536e-03
             58      8.335e-03      8.396e-03     -6.145e-05      7.372e-03
             59      7.011e-03      7.088e-03     -7.776e-05      1.109e-02
             60      5.877e-03      6.001e-03     -1.240e-04      2.109e-02
             61      4.911e-03      5.033e-03     -1.213e-04      2.471e-02
             62      4.090e-03      4.176e-03     -8.594e-05      2.101e-02
             63      3.396e-03      3.474e-03     -7.848e-05      2.311e-02
             64      2.810e-03      2.881e-03     -7.165e-05      2.550e-02
             65      2.317e-03      2.384e-03     -6.694e-05      2.889e-02
             66      1.904e-03      1.983e-03     -7.859e-05      4.127e-02
             67      1.560e-03      1.613e-03     -5.275e-05      3.382e-02
             68      1.274e-03      1.312e-03     -3.859e-05      3.030e-02
             69      1.036e-03      1.085e-03     -4.826e-05      4.657e-02
             70      8.404e-04      8.699e-04     -2.952e-05      3.512e-02
             71      6.792e-04      6.982e-04     -1.897e-05      2.793e-02
             72      5.471e-04      5.816e-04     -3.446e-05      6.299e-02
             73      4.392e-04      4.641e-04     -2.494e-05      5.678e-02
             74      3.514e-04      3.864e-04     -3.501e-05      9.966e-02
             75      2.801e-04      3.038e-04     -2.363e-05      8.435e-02
             76      2.226e-04      2.462e-04     -2.368e-05      1.064e-01
             77      1.762e-04      1.952e-04     -1.899e-05      1.078e-01
             78      1.390e-04      1.571e-04     -1.809e-05      1.301e-01
             79      1.093e-04      1.239e-04     -1.460e-05      1.335e-01
             80      8.567e-05      1.021e-04     -1.639e-05      1.913e-01
             81      6.689e-05      8.019e-05     -1.330e-05      1.988e-01
             82      5.205e-05      5.670e-05     -4.653e-06      8.940e-02
             83      4.035e-05      4.779e-05     -7.436e-06      1.843e-01
             84      3.118e-05      3.969e-05     -8.512e-06      2.730e-01
             85      2.400e-05      2.673e-05     -2.727e-06      1.136e-01
             86      1.841e-05      1.944e-05     -1.027e-06      5.578e-02
             87      1.407e-05      1.377e-05      3.046e-07      2.164e-02
             88      1.072e-05      1.134e-05     -6.202e-07      5.785e-02
             89      8.135e-06      9.720e-06     -1.585e-06      1.948e-01
             90      6.152e-06      8.910e-06     -2.758e-06      4.484e-01
             91      4.635e-06      8.100e-06     -3.465e-06      7.476e-01
             92      3.479e-06      7.290e-06     -3.811e-06      1.095e+00
             93      2.602e-06      5.670e-06     -3.068e-06      1.179e+00
             94      1.939e-06      5.670e-06     -3.731e-06      1.924e+00
             95      1.440e-06      5.670e-06     -4.230e-06      2.938e+00
             96      1.065e-06      4.860e-06     -3.795e-06      3.563e+00
             97      7.849e-07      4.050e-06     -3.265e-06      4.160e+00
             98      5.763e-07      3.240e-06     -2.664e-06      4.622e+00
             99      4.216e-07      2.430e-06     -2.008e-06      4.764e+00
            100      3.072e-07      1.620e-06     -1.313e-06      4.273e+00
            101      2.231e-07      1.620e-06     -1.397e-06      6.262e+00
            102      1.613e-07      1.620e-06     -1.459e-06      9.041e+00
            103      1.163e-07      8.100e-07     -6.937e-07      5.967e+00
            104      8.345e-08      8.100e-07     -7.266e-07      8.706e+00
            105      5.967e-08      8.100e-07     -7.503e-07      1.257e+01
            106      4.251e-08      8.100e-07     -7.675e-07      1.806e+01
            107      3.016e-08      8.100e-07     -7.798e-07      2.585e+01
            108      2.132e-08      8.100e-07     -7.887e-07      3.699e+01
            109      1.501e-08      8.100e-07     -7.950e-07      5.296e+01
            110      1.053e-08      8.100e-07     -7.995e-07      7.593e+01
            111      7.356e-09      8.100e-07     -8.026e-07      1.091e+02
            112      5.119e-09      8.100e-07     -8.049e-07      1.572e+02
            113      3.548e-09      8.100e-07     -8.065e-07      2.273e+02
            114      2.450e-09      8.100e-07     -8.076e-07      3.297e+02
            115      1.685e-09      0.000e+00      1.685e-09      1.000e+00
            116      1.154e-09      0.000e+00      1.154e-09      1.000e+00
            117      7.871e-10      0.000e+00      7.871e-10      1.000e+00
            118      5.348e-10      0.000e+00      5.348e-10      1.000e+00
            119      3.619e-10      0.000e+00      3.619e-10      1.000e+00
            120      2.439e-10      0.000e+00      2.439e-10      1.000e+00
csci[~/cs201/homework]27>^Dexit

script done on Thu Feb 26 04:00:39 2009
